Canal,Link,Número de Inscritos
ScanCast - Podcast de Carreira e Tecnologia,https://www.youtube.com/channel/UCTgG9O5VVSSSO6VEazls6kw,2120
MSK(Mee Software Kurradu) Telugu Podcast,https://www.youtube.com/channel/UCi0DhRWcF0c1dH6WlvQ9khg,2100
AVForums Podcasts,https://www.youtube.com/channel/UC-zySnuNH2tffddWTRVS7Bg,2090
Quarto Poder Podcast,https://www.youtube.com/channel/UCiczFDYI_Y6WCxZHcuH11Cw,2070
Reset Podcast,https://www.youtube.com/channel/UCO9yHkYielj53eAwo0aCO2Q,1990
Atleticast - O podcast das Atléticas,https://www.youtube.com/channel/UC5ZxUAfVRkUkWSWSERe18Hg,1970
Podscrer Podcast,https://www.youtube.com/channel/UC0moqnjKy5bL43gKQDrSA1g,1940
Missão Desenvolvimento,https://www.youtube.com/channel/UCCTwVUf_jHieXrYuF3G1GyQ,1920
BlockHash Podcast,https://www.youtube.com/channel/UCcMWGVZFBqq3stSuKrmSX3Q,1820
Semiose - UX Design e Podcast,https://www.youtube.com/channel/UCu-7dk3dOXiqCeqxgh7Dpkg,1800
Podcast Agilizem,https://www.youtube.com/channel/UCLAEwGzn685F31GhlBKPQMg,1780
Free Podcast Tools,https://www.youtube.com/channel/UCj--AN4bOgDvtilC3700iNg,1710
FRÊMITO Podcast Vascular | @fogarty_da_madrugada,https://www.youtube.com/channel/UCJBdM6dtSEohQA3mwowkXjA,1700
Ti Chèz Ba The Podcast,https://www.youtube.com/channel/UCacOWIeWbc0GtXNFvuM6Now,1570
CNP Podcast,https://www.youtube.com/channel/UCJXno4Ula1pvV-lStW80Dng,1570
R27 TV e Podcast,https://www.youtube.com/channel/UCS8TDoHHZYV3yX_eTeW7BcQ,1530
Demasiado Humano Podcast - Psicoterapias e Desenvolvimento Pessoal,https://www.youtube.com/channel/UCEFFrX3FRVT8cZNwIwYvuNg,1520
A Fábrica Podcast,https://www.youtube.com/channel/UCuqxgY8OCwr4YTnODe-JcNg,1510
Dediprosa Podcast,https://www.youtube.com/channel/UCgh8Y1VuKM5AyXBST1M7KuQ,1450
Foguete Sem Ré Podcast,https://www.youtube.com/channel/UCUc7sc3PiSwsz2DM58mxaWA,1350
Empreendedorama Podcast ,https://www.youtube.com/channel/UCT_59-RceqdeJCHRGTid7Ng,1320
Digicast Podcast,https://www.youtube.com/channel/UCthFn11cEaIvpq6uz_dprsQ,1300
Castalio Podcast,https://www.youtube.com/channel/UCwXGkzp-kXcvo6XmSWfN6Gg,1270
UltraVioleta Podcast,https://www.youtube.com/channel/UCStBXBnCm9TmAMZS8j6mnkw,1230
El Test de Turing - Inteligencia Artificial,https://www.youtube.com/channel/UCplS0ASj4WfnXJMo0vAPFkw,1180
Continuous Delivery,https://www.youtube.com/channel/UCqvLlY-KgRq5Qf4uH-P9NKg,1180
sukinhopodcast,https://www.youtube.com/channel/UCK8wSrzNT3gJxSeT4Qv2yOg,1160
Be Strong Cast,https://www.youtube.com/channel/UCFWjB3LsIajJTZJ0laAgZzA,1150
SEIQPOD Podcast,https://www.youtube.com/channel/UCApm-226RzPcvBog8lvySEA,1060
AIU Podcast,https://www.youtube.com/channel/UC5fchkp7YcVENQia2uUc1OA,1050
Cloud Native Podcast ,https://www.youtube.com/channel/UC7B9fl8jQ8TEdOCypF4g3Wg,1030
F9 PODCAST,https://www.youtube.com/channel/UCtSsk2t8oVK9RVA8OaIih3Q,931
Prosa de TI,https://www.youtube.com/channel/UCkAP_1nVJ9Fq_q7GKNQbhTA,926
Entreliçados Podcast,https://www.youtube.com/channel/UC_Z-CkZwr67LOZvLoiJVsig,925
Off The Record - The Academind Podcast,https://www.youtube.com/channel/UCYT6PDgLGRPeirNRwQLCJZg,901
Desenrédate Podcast,https://www.youtube.com/channel/UCarWQsB0jtaRHRIexBHq3Kw,837
Manancial Podcast ,https://www.youtube.com/channel/UCjS4y5GVPifTXzo4_VOKdUQ,789
Local First Podcast,https://www.youtube.com/channel/UCTFLKYjTDz7WlDZif7U36ig,781
QATech PodCast,https://www.youtube.com/channel/UCbNyhu7dtMv_M72cHAu6P5A,748
Conversaria Podcast,https://www.youtube.com/channel/UCO5pw0ImLcSVKOf3NfdnGyw,704
Sobre ti Podcast,https://www.youtube.com/channel/UCj6UL3R9Gispokes4KJM32Q,695
MedEnsina PodCast,https://www.youtube.com/channel/UCJDQWontJWytcS7EsS4bfRg,666
En Las Redes Podcast,https://www.youtube.com/channel/UCoGTvNbnMN14cYwBcm1DTZw,643
Fronteiras da Engenharia de Software,https://www.youtube.com/channel/UCoMR6kQkALsrDIpbu3nB9tw,602
Versa Podcast,https://www.youtube.com/channel/UCF-Iu3SeOtq8rySHR0bIbvg,583
Educação é o Alvo Podcast,https://www.youtube.com/channel/UCCZa9FTsFQJB0a-3hPUtOwg,565
Pausa na Programacao Podcast,https://www.youtube.com/channel/UC_Q3aTB0pQgr6ZZBDcrO5UQ,550
Podcast CodeBreackers,https://www.youtube.com/channel/UCiO5zvuBJhlsIHSN3R4E6mQ,529
Intervalo de Confiança,https://www.youtube.com/channel/UCIVKKWCNvbLWuM3xTdHwtxg,492
Força e Honra Podcast,https://www.youtube.com/channel/UC7zoQpybGMsFC2xztMzTPpQ,481
ROBOCORT,https://www.youtube.com/channel/UCJkaz0H4f74POc5eBfTFQ2A,461
TechEdu Inovação Podcast,https://www.youtube.com/channel/UCET8y9lTus6z6gz_GBs9PYg,428
Eye on ICON | Blockchain Community Podcast,https://www.youtube.com/channel/UCJJ7_44t3DAU_Rgc0LIF4Eg,427
Sabidão Podcast,https://www.youtube.com/channel/UCvoJ4a5c5Cx_97MWniNT4jA,412
BotCast - Podcast de RPA e Hiperautomação - Brasil,https://www.youtube.com/channel/UCzvbjsBPPqF6eaNWapumKzw,405
Robot Life,https://www.youtube.com/channel/UCi68HjSwcpxYWMu3c-M5LCQ,371
Descentralizando Podcast,https://www.youtube.com/channel/UCT8biWKfFuTdjAlqM2SZpuQ,363
Hotspot Podcast,https://www.youtube.com/channel/UCsizmQvEvWmCKn4BIQitUAw,355
Podcast de um Homem Só,https://www.youtube.com/channel/UCRtMycHGAFKpgwBahICQ4-A,347
The Blockchain Boys Podcast,https://www.youtube.com/channel/UClsfULQLQHZ31yCsPr19RAA,292
Amazontech PodCast,https://www.youtube.com/channel/UCBi6FfrIZsFsGyt0A8hY0lQ,289
Corrida Na Rede Podcast,https://www.youtube.com/channel/UCmW0CWdAmhHHSEp5mALnycA,280
Dai Dati alla Business Intelligence,https://www.youtube.com/channel/UCcVM9bJBw1mX2LNwL29NE4Q,274
Hardware Addicts,https://www.youtube.com/channel/UCVt_YkWx1KngGQNDm3fxK-Q,273
Podcast da Super Portaria,https://www.youtube.com/channel/UCWOODqUy6V1WFpesYsxAQdA,268
No Container Podcast,https://www.youtube.com/channel/UCtHvUcEW8Y0HOsysOTkuXWw,245
overFLOW - podcast de tecnología,https://www.youtube.com/channel/UC6lHWRMjNVER-x0uhE2AKcg,243
Build Failed Podcast,https://www.youtube.com/channel/UCKjm6eGbG1hOFcm0qnL-Zkg,223
Cultura Blockchain - Podcast,https://www.youtube.com/channel/UCa9qHu5dV1p7UPkCe9Sl9xQ,222
Engenharia.Software Podcast,https://www.youtube.com/channel/UCSYCPO1TgGL1-D443ipmshQ,216
CyberCast BR,https://www.youtube.com/channel/UC26mrHujqmCOkEYPXVjUF3Q,199
s7aba podcast - سحابة بودكاست,https://www.youtube.com/channel/UCnIrYMUfx_ulDUIm_k0ktrA,198
Fala Comciência,https://www.youtube.com/channel/UC0aRFxULmPbK9Xyvs3wlvmQ,197
Show me the data,https://www.youtube.com/channel/UC6jgfldfzElILFVZl1SCOTw,191
Pesquisa em Podcast - UNEMAT,https://www.youtube.com/channel/UCwl_BR_TthFPFErjQv70t0w,187
Web3 Quest Podcast : Stories Behind the Blockchain,https://www.youtube.com/channel/UCbWmAnvJfVz1zKlAb2rKzuA,177
Aceleraí Podcast,https://www.youtube.com/channel/UCvYFBi9Z6tVBqZwd0GdZgmw,166
Podmédico Podcast,https://www.youtube.com/channel/UCTWvC14sE09P44qEnGtooMw,142
