Canal,Link,Número de Inscritos
Mauá Podcast,https://www.youtube.com/channel/UCR7ld8knZQBlH9LPBEFpKZw,1010
Vida de Jornalista,https://www.youtube.com/channel/UCBhKUOIaPUWFltWzmjT5Seg,982
Daily Comedy News Audio Podcast,https://www.youtube.com/channel/UCtsHYOjoM_tJfmwMzIK2J1Q,960
Relógio Económico Podcast,https://www.youtube.com/channel/UCdkXrM8toNoaGWvNjc-YCeA,928
PODCAST Frontin de Verdade O Jornal,https://www.youtube.com/channel/UC8I-ve8aAnltY4SzrNASWHw,906
Mundo Agro Podcast,https://www.youtube.com/channel/UCT-603b6Zrcs1RiAi38kbrA,806
Content Podcast,https://www.youtube.com/channel/UCdfFyUrY6AgnIunoReT2KeQ,775
GP TALKS BRASIL | Brazilian Podcast,https://www.youtube.com/channel/UCJEqz1XY8kP0-aAKXcM0u4A,753
PodPombo Podcast ,https://www.youtube.com/channel/UCbhDk6tvBuGN3G422VwttNg,729
PODCAST DO BRASILEIRO,https://www.youtube.com/channel/UCevPTAwyXSGw08b5Xvf-Gmw,699
Cafe com Política Podcast,https://www.youtube.com/channel/UCfEIGkPgs1-ncbX5YPIW90A,608
The History Behind News Podcast,https://www.youtube.com/channel/UCYFgxDDW77x0VnF7YZZgM5w,595
Manda Notícias,https://www.youtube.com/channel/UC82pfPULJvqHtZP3xYwaALg,531
Podcast PodCoari,https://www.youtube.com/channel/UClWnE8n4AfPJjwfUBfRccqQ,362
MUNDO PODCAST ,https://www.youtube.com/channel/UCW0jnZjEmrYE9N3X-f_JqAg,353
A Jovem Política PodCast,https://www.youtube.com/channel/UCwr6pBqLFC8_zNtyZraLifQ,331
Economia Mainstream - Podcast,https://www.youtube.com/channel/UCUA0RRNIlcKrJaDT4j7FNHw,325
Zona Política PodCast,https://www.youtube.com/channel/UCukJYGnAC_t5aT6bfd2chOw,322
Chama Podcast,https://www.youtube.com/channel/UCqjZzATfc-t999NCglzja_A,309
Podcast Brasil,https://www.youtube.com/channel/UCEOHfqmZ7Mpuni13RC692cQ,297
Podcast Politica em Foco,https://www.youtube.com/channel/UCQiAOiYrYS5FX_lKGNkWUaQ,265
Politica RN Podcast,https://www.youtube.com/channel/UC85oefFqR_dwn81sDu4pXIQ,231
Cortes Brasil Podcast,https://www.youtube.com/channel/UCa_BrH_n6aMaXVEobObQcKA,212
Podcast - Política em Foco BM,https://www.youtube.com/channel/UCXbpaTVZBGkCJy53dBHKcng,210
Podcast Papo Reto News,https://www.youtube.com/channel/UCxDt4Hce0Vu-5zvMsqTXdNA,199
Só Humanas Podcast,https://www.youtube.com/channel/UCQP04eV9Ox4OqML1cAzIWvQ,192
Mundo PodCast,https://www.youtube.com/channel/UCKC8HaowQsebAdWfWIiS8Tw,190
Na Boa PodCast,https://www.youtube.com/channel/UCMhZxg8-iWoBJtliY8Rqfhw,180
Podcast Antena 1,https://www.youtube.com/channel/UCHhdJ_NMD_eLemRnpWUW4Uw,157
Whatsapp Noticias podcast,https://www.youtube.com/channel/UCTThp4mu1Ixm66HdT5Efk4Q,137
Manda Real Podcast,https://www.youtube.com/channel/UCCnglCdSBWZ8Rz9ZQEvLV4g,134
Papo de Político PodCast,https://www.youtube.com/channel/UCCBswEc4pvw1ugZWUxssDjw,115
Pode Crê Podcast,https://www.youtube.com/channel/UC3CoTt9ykPmybywLRaTca9w,112
EcoTalks Podcast,https://www.youtube.com/channel/UCak3EREmJMDJQ6qlmaV-a9Q,91
Podcast Noticia Para Cachorro,https://www.youtube.com/channel/UC4qgfmY1AW98HL96qP4Z2pA,72
Mundo Podcast,https://www.youtube.com/channel/UCiy0sBlnee3ZZ8-GnqEw10Q,69
Excelentíssimo Podcast,https://www.youtube.com/channel/UCOgjnYwqP1cZyCNTpfbGgGw,62
Buenas Noticias Podcast,https://www.youtube.com/channel/UCT6Q7TM48xxFwKjYccgWGuw,61
Brasil Podcast,https://www.youtube.com/channel/UCcjIORi1F1o42FSGyxeTYaQ,58
Mundo fitness Podcast,https://www.youtube.com/channel/UCujLSdYMXx3SDfRB-BO57Mg,56
Cheibe Podcast,https://www.youtube.com/channel/UCdqOZHU5c7BlJSaw0ijuc2w,56
Mundo PodCast,https://www.youtube.com/channel/UCY66Cckslnku64W63jxSxcA,50
RSS News - Notícias sobre o Mundo dos Podcasts,https://www.youtube.com/channel/UCkFfgl9KL8Uigyk1wsCj9BA,48
Mundo podcast ,https://www.youtube.com/channel/UCcJbt9oVhfuyg2A3zhIOTdQ,34
Dimensions Podcast & Noticias ,https://www.youtube.com/channel/UCMVoahpEjy0wGFU7pJHrDBw,33
Mundo Podcast,https://www.youtube.com/channel/UCzviq1iAlaBMmZuwdnuNPew,31
ATUALIZA PODCAST,https://www.youtube.com/channel/UCaYSwVMsQNuQpe1zEsYoGtA,28
Ponto de Vista Jornal e Podcast ,https://www.youtube.com/channel/UCRUwHwIUznLBBAaldDMoalQ,27
News Podcast,https://www.youtube.com/channel/UCp1WJe8rvDjeGzmAxdvdKpQ,26
Mundo Podcast,https://www.youtube.com/channel/UCJcVtz-Y2wvjjHL7WB1ebWw,24
Gospel News Podcast,https://www.youtube.com/channel/UC4kPgvQkTxlkbHLVgPRjhtA,22
Talk Notícias Podcast,https://www.youtube.com/channel/UCRdDSoyhgGuI8IfWPlu3M1A,17
AM News Podcast ,https://www.youtube.com/channel/UCnsYHK3PH78k973XCu9VG8Q,17
Jornadas Podcast,https://www.youtube.com/channel/UC0sMWy11HgB0KAqTRDCB33Q,17
Jornalismo Eltv,https://www.youtube.com/channel/UCtbq2KxEZUg41HsL7XnGbwg,16
CImplifica Podcast,https://www.youtube.com/channel/UCPpxKP6RVqg_PY6KSyF6_Jg,15
Mundo Podcast,https://www.youtube.com/channel/UCTpvBFKuobYATYP3n-uUfAw,14
Fu Podcast,https://www.youtube.com/channel/UCDz_YftoVOXK89xpNG_plkA,13
Arthur Reis - Zona Política - PodCast,https://www.youtube.com/channel/UCHqn-gjo2xQDtUKxOAIepkg,11
News Podcast,https://www.youtube.com/channel/UCchzTOMKk7iDI3euapukwPQ,10
Talvez Um Podcast - informação e tecnologia,https://www.youtube.com/channel/UC-M4JXJWqCkjNrDpXmJ5imA,10
EconomizaAi! Podcast,https://www.youtube.com/channel/UCZDvWGWWxQGMYlColFnClNg,9
news podcast,https://www.youtube.com/channel/UCQHQeILci-2s5dacCReMpyA,7
Brasil Podcast,https://www.youtube.com/channel/UCKMlpLafOUvQha_DzWBhHfQ,6
Notícias Podcast,https://www.youtube.com/channel/UCU8UpbJjTa0-WdjTOahm1XA,4
News podcast!,https://www.youtube.com/channel/UCieaTSkV5td3tthtFX5zv7Q,4
Jornalisticamente podcast,https://www.youtube.com/channel/UCfnPQjO68GHF2h7fcvvPmUg,4
Notícias PodCast,https://www.youtube.com/channel/UCiZBKTLGOtahYlFFsBc4Xyw,3
NEWS podcast,https://www.youtube.com/channel/UC3SF-XtLWPie5SAIBS_6Arw,3
mundo podcast,https://www.youtube.com/channel/UCwV1nr-cDqGcvQndiEbODNQ,3
PODINFO - Um Podcast da Ciência da Informação,https://www.youtube.com/channel/UCWhSDCWboZkWwMmwnEax75A,3
Corte News Podcast,https://www.youtube.com/channel/UCljWqyXqfbGhs_z9ZydmHAg,2
Atenção Consumidor PodCast TV,https://www.youtube.com/channel/UCr9-G-zl67DIWseUwAireHQ,2
Brasil Podcast,https://www.youtube.com/channel/UCFAaDbwoFFvBA6sImLwonzg,2
brasil podcast,https://www.youtube.com/channel/UChiBcDnL_kFwyNJCwSowQGA,2
Pod News - O mundo do podcast,https://www.youtube.com/channel/UCTzxCGmtlwmerKpqHuL7AZw,2
Jornalismo de Bolso - Podcast,https://www.youtube.com/channel/UCtzn1g4xYTKME_ebUpVqhgQ,2
A regra do Jogo - O podcast que discute o jornalismo no Brasil,https://www.youtube.com/channel/UCwY7HgGbBU3hBB2K2qPzoFQ,2
NEWS PODCAST,https://www.youtube.com/channel/UCV-k3xpoe6PMB3NzZiCAejA,1
Economia cortes podcast,https://www.youtube.com/channel/UCnRao1H461vMo6YvuK_5T4A,1
Mundo PodCast,https://www.youtube.com/channel/UCshVQaakEeX1Mnm59uFoIVA,1
Brasil Podcast,https://www.youtube.com/channel/UCdJXk82EVPF97YxpPdbqUsw,1
Brasil Podcast,https://www.youtube.com/channel/UCNGx5L-vhmP1rp58DGVwPjQ,1
Brasil Podcast,https://www.youtube.com/channel/UCTEZMfrXsNMvWNiJwWriqZQ,1
Podcast Maijus ,https://www.youtube.com/channel/UCY-ifuzT3qdAr5zUsmaXLpg,1
Brazilian News Podcast Brazil,https://www.youtube.com/channel/UCuDXRLRQPZtFtRYKQdVX4VQ,0
Modern News Podcast,https://www.youtube.com/channel/UCjcBOSt57qQgQbECy5L4kXg,0
Cortes News podcast,https://www.youtube.com/channel/UCW_9-ag9vVfDwxhBo3EvNQw,0
CIRCULANDO NA POLÍTICA PODCAST,https://www.youtube.com/channel/UCYuAkICPXgBP0z2ddrmEzBA,0
Política Brasil podcast,https://www.youtube.com/channel/UCI_YCkyabBKqnk8QRdbW0OA,0
Mundo Podcast,https://www.youtube.com/channel/UCe76Y_e1BTN0ff9iXOLlaEg,0
Mundo Podcast,https://www.youtube.com/channel/UCP9jtF4Tr9Frae-Qe2_sIWw,0
Mundo Podcast ,https://www.youtube.com/channel/UC-Dbs06KeW0GZ5gYfrAyPOg,0
Mundo Podcast,https://www.youtube.com/channel/UCIas2fUT7LvYnKLOvEYg7RA,0
Brasil podcast,https://www.youtube.com/channel/UCRFE7qZRhS-UF8yxDfSelKA,0
Informações PodCast,https://www.youtube.com/channel/UCZEosaALGjEIkJmYVs9dijA,0
Podcast Atualidades CSC,https://www.youtube.com/channel/UChYndgTcz6rS7ddliw6Vx_A,0
