Canal,Link,Número de Inscritos
Hit Kill,https://www.youtube.com/channel/UCVkoMQ7GfHoqh1mrt1lNYOw,191
Confusos e Perdidos Podcast,https://www.youtube.com/channel/UCfsN-je4I8W2uHVeddf3zbA,180
Interpretativo Podcast,https://www.youtube.com/channel/UCEyj6hKVsT-tRJnWTxBfv8Q,157
Savagecast - O Seu Podcast de Savage Worlds RPG,https://www.youtube.com/channel/UCJe4G4CFSnSOPnYR4KMkiZw,150
The Game Treasure Podcast,https://www.youtube.com/channel/UCnkCIUJv1Xv5rwevPSoSiuA,135
Esse Jogo é De Dois! - Podcast,https://www.youtube.com/channel/UCMEADcgxARjMh72n1AydIKA,120
G3 Podcast_,https://www.youtube.com/channel/UCIV9G-moH7sBHuCFRUrLcwQ,115
GameCraft Podcast,https://www.youtube.com/channel/UC6EtRcBsumcXBElhGNW_DiQ,115
Rocast,https://www.youtube.com/channel/UCdEAeh5U7gygGN7Q7pwQC8A,109
Universo ZEG,https://www.youtube.com/channel/UCZcGuHAzXH-YVbnMgOzEfcg,98
Radionautas Podcast,https://www.youtube.com/channel/UCHNJFqaSdNe8LlksE6cWf_A,92
Pod Tudo Sem Limites,https://www.youtube.com/channel/UCsTKaSwthG5TwlQlirYDRSA,86
The Art of Games Podcast France,https://www.youtube.com/channel/UCkJ7j85OQ3H7ZI7DRK50g8A,68
Papo de Mesa Podcast,https://www.youtube.com/channel/UCZKZMJHgXECazQQ8SUpeeTg,62
RPG HEROES PODCAST,https://www.youtube.com/channel/UCJQ0E-UFEuIV8XRLtJbcLig,59
Fugitivos do Multiverso,https://www.youtube.com/channel/UC_EFlTfkJKG_J0v7BOr_OJg,59
Nerdkit Podcast,https://www.youtube.com/channel/UC7KRt5fHXpa8MkA7en1spWg,50
Fresh Juice: An Indie Game Podcast,https://www.youtube.com/channel/UCrfJ4lvb_i8KO_QxtvhxWDQ,48
Gameplay x Podcast,https://www.youtube.com/channel/UCy4579cF3UOa8DusUAi1_GQ,43
PodGame,https://www.youtube.com/channel/UC3HZ_9ujAbMPL8lmf7YK1nA,43
Stúdio Podcast Adrenalina,https://www.youtube.com/channel/UCBXgJ79QHWhsjInGJcAL9lQ,39
Cronoclastas,https://www.youtube.com/channel/UC68jvrIeij-HYg547bqdMFA,36
🎧 TUDO EM FAMILIA ★ PODCAST GAMEPLAY,https://www.youtube.com/channel/UClWzTFJIkJxReIJhALo2dsg,31
Podcast Jogatinas,https://www.youtube.com/channel/UCt1xHAvKIvotCrdKpDspJpg,31
Papo Simulado ,https://www.youtube.com/channel/UC7Mv_z_gpzITVXtko9mXo9A,25
stationOne PodCast,https://www.youtube.com/channel/UCVJ-u7esxE8J5jwMZ_veNxg,24
Aperte START,https://www.youtube.com/channel/UCpJEXAd1uKO9CC6-mDoWCxw,22
The RPG Podcast,https://www.youtube.com/channel/UCAdf4eDXOPZeLkO63AJtZrg,22
Pré-Ludens Podcast,https://www.youtube.com/channel/UC_6Mi8oEp5VGkpdIJggqTCg,20
LiveCast,https://www.youtube.com/channel/UCFGcBj7f0iBg-gADdebxccA,20
Não Concordo Podcast,https://www.youtube.com/channel/UChXyw_SDoztUOwNwc4hJHSA,19
Kombo - Podcast Esport,https://www.youtube.com/channel/UCt0u_Ge_3vUKJQ5JTTMByLw,16
Tecla De Ação,https://www.youtube.com/channel/UCD991q9vNkKZdT0jzS5HxDA,16
glicocalix,https://www.youtube.com/channel/UCjN_f-UwsgXC2-ZvG732u2Q,15
Fliperama de Boteco,https://www.youtube.com/channel/UCYHKWKACggzMSBZbcSRLLtw,13
SideQuest RPG Podcast,https://www.youtube.com/channel/UCSCeVl9nQpUDEj4fjHXbFuA,13
Podcast da Juventude,https://www.youtube.com/channel/UCMAGRC7lTw6mnRWlMoi872g,12
Cortes Podcast Brasileiros,https://www.youtube.com/channel/UChhWFksfeVw1ViRNf6aUSfA,12
Table It! A Micro RPG Podcast,https://www.youtube.com/channel/UCLy0viER1TGZnOng07iWBQw,11
Clube do 4UM,https://www.youtube.com/channel/UCJjdOlKuzeZBdWHNoR5hnPA,9
Gameplay Com Podcast,https://www.youtube.com/channel/UCqEiDbJeEEcvfwkZkfyDplw,8
AnimeGameQuest,https://www.youtube.com/channel/UCkOaxrw34vcC1WmC-_ytVbA,8
L Lawliet  エル・ローライト (PODCAST e jogos indie.),https://www.youtube.com/channel/UCGbn29WF4h39unXBAnSiSpg,7
immersive-podcast,https://www.youtube.com/channel/UC1trG8GPWdNDp7vcBvEIc3Q,5
GTA Podcast gameplay ,https://www.youtube.com/channel/UCKI56RdEnpUuvzEgH19laUA,4
Nerds Podcast,https://www.youtube.com/channel/UCVLAMWOFyqfYTD5fIpUi3MQ,4
"Podcast,Gameplay e React",https://www.youtube.com/channel/UCAzDyTnUoK2Wgt6VKTzWebQ,2
Podcast.Gameplay,https://www.youtube.com/channel/UCK5TSmFziE1Xl-ykhEqxr9A,2
PODCAST Gameplay,https://www.youtube.com/channel/UCHlGxato63cmPCu2S6ZzhbQ,2
gamesnato podcast,https://www.youtube.com/channel/UC10lxnGP0J4rWzrE2840ORQ,2
Cortes de podcast e jogos,https://www.youtube.com/channel/UCHe9a3t-gs5fQENWi_8Furw,1
Inova Direito Podcast,https://www.youtube.com/channel/UCpJzkhXWM7Z5ArDxpEPNhcQ,1
"Cortes - Filmes, jogos e podcast",https://www.youtube.com/channel/UCmBiNCnWsbeqdDCEZ1uyjEg,0
Gameplay podcast,https://www.youtube.com/channel/UC1CfPvUe3nKpv4C9miMPlMA,0
Podcast.gameplay,https://www.youtube.com/channel/UCkmNBM0U-QlakO0zGnThtqg,0
Podcast Do Silvin Gameplay,https://www.youtube.com/channel/UCkBVhEMaw-J-uCCzz7SaSvA,0
Clips Podcast,https://www.youtube.com/channel/UCFwTBOLGn3SOMord6e_1ovg,0
Platão Platina - Jogos & Filosofia,https://www.youtube.com/channel/UCTNOeGNG6kIMhe07GB025iA,0
O Jogo Mudou Podcast,https://www.youtube.com/channel/UC9zTfTUuq2kEeQFdoeHES_A,0
Podcast-roleta,https://www.youtube.com/channel/UCuje6rpymjq5NuoQhq2bSKw,0
