Canal,Link,Número de Inscritos
Podcast com Morangos,https://www.youtube.com/channel/UCPg9zBclEQIVQEEvJkmE2XA,3290
Papo Atualizado Podcast,https://www.youtube.com/channel/UCT7IVe88hHehzQHFb_IdO8A,3270
Acompanhadas Podcast,https://www.youtube.com/channel/UCIMpXnpKAI9NxxKD1MDMkEA,3200
The Debate Podcast,https://www.youtube.com/channel/UC-sxhK1riktxukpUUlmj2fw,3120
Fala TH podcast ,https://www.youtube.com/channel/UCMr5qlV0iFvl5kVKgxxA7Gg,3060
BATE PAPO podcast,https://www.youtube.com/channel/UClEImVqD6LDFb6WJ5rMmsOQ,2840
Date de Quarta - Podcast by Inner Circle,https://www.youtube.com/channel/UCWCVBHYQZyWIFjwy7UrP3UQ,2830
PAPO BOM PODCAST,https://www.youtube.com/channel/UCvr5Zf8PEnIAaUPjqrlF5dg,2810
Koroas Podcast 🎙👑,https://www.youtube.com/channel/UCmXdKOU0Raj7TJ_1z5LbpJg,2720
Debate Volta Podcast,https://www.youtube.com/channel/UCfUqoIM92tvzL6RxGoM1lbQ,2580
Papo de Bari Podcast,https://www.youtube.com/channel/UCavMeDh5AhzSA3h35jr1I1A,2470
Papo informativo Podcast,https://www.youtube.com/channel/UCAgQh8eOatt_9bwB3cSpO6w,2420
Papo Íntimo Podcast,https://www.youtube.com/channel/UCquidytj3eX_KzVf8CKT88w,2310
Papo Rec - Podcast,https://www.youtube.com/channel/UCgYu4Hgo3DTE7Lr7E8azIJw,2290
𝐅𝐚𝐥𝐚 𝐎𝐩𝐞𝐫𝐚𝐜𝐢𝐨𝐧𝐚𝐥 𝐏𝐨𝐝𝐜𝐚𝐬𝐭,https://www.youtube.com/channel/UC513cMhSnqKp8_R4982hKnQ,2240
FalaPapaiBH,https://www.youtube.com/channel/UC6DNpYLNiFTRFOSWSwA2pqw,2100
SOPA DE CONVERSA PODCAST,https://www.youtube.com/channel/UCoA32ZrQbk5fp_e6xmpDTEA,2020
Fala Fí Podcast,https://www.youtube.com/channel/UCcrNWmpGJoTBeMFUmCyghgQ,1870
SemCortsPodcast,https://www.youtube.com/channel/UC-V974VG0dMc4mJubZu0F3A,1710
PODCAST PODSER,https://www.youtube.com/channel/UCBGOKnDlnziLEtqaAl2ug6g,1690
Papo De Visão - Podcast,https://www.youtube.com/channel/UCBZifkLkjCQTV0EaDxhtIgA,1660
Horário Nobre PodCast,https://www.youtube.com/channel/UCekiYHeIcxpQVk4CFzjCo8A,1610
Debate Uma Pra Nós Podcast,https://www.youtube.com/channel/UC5HdOiZ7ndHWJMEOaQV6eGQ,1500
NYPTALKSHOW,https://www.youtube.com/channel/UCnxepX7QG-JQBCF8rVmjzDw,1500
"Podcast, el Podcast",https://www.youtube.com/channel/UCou82xZ0WWszk4xd4NHHggw,1480
